sku,nombre,categoria,subcategoria,marca,calibre_awg,num_conductores,voltaje,apantallado,chaqueta,norma,aplicacion,potencia_hp,voltaje_entrada,serie,descripcion_corta,imagen
107078,14/37C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,14,37,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107079,16/9C FREP/CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,16,9,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107080,16/12C FREP/CPE N/S 600V M1/E2,Cables especiales,Cables apantallados,,16,12,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107081,16/24C FREP/CPE N/S 600V M1/E2,Cables especiales,Cables apantallados,,16,24,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107082,16/37C FREP-CPE N/S Cable para bandeja E2 600V ER,Cables especiales,Cable para bandeja / tray cable,,16,37,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107083,10/2C FREP/CPE N/S Cable para bandeja E1 600V TC Flat,Cables especiales,Cable para bandeja / tray cable,,10,2,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107084,10/3C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,10,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107085,10/4C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,10,4,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107086,12/2C FREP/CPE N/S Cable para bandeja E1 600V TC Flat,Cables especiales,Cable para bandeja / tray cable,,12,2,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
107087,12/3C FREP/CPE N/S Cable para bandeja E1 600V ER,Cables especiales,Cable para bandeja / tray cable,,12,3,600 V,Sí,CPE - Chlorinated Polyethylene,,,,,,,
