sku_candidato,nombre_fuente,categoria_fuente_slug,subcategoria_fuente_slug,producto_url,imagen_url_externa,titulo_imagen_fuente,ultima_actualizacion_fuente,estado_contenido,estado_imagen,notas,sku_fuente,nombre_catalogo,categoria_url_fuente,imagen_thumbnail_url
CC-ALAMBRE-AISLADO-N10-AZUL-X-METRO,Alambre Aislado N10 Azul X Metro,alambre-cable-thhn-thw-cu,alambres-thhn-thwn-2,https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/6fe9a1a8d62fd38b.webp,Alambre Aislado N10 Azul X Metro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",10011471-AZ,Alambre Aislado N10 Azul X Metro,https://cablescolombia.com/categoria/alambre-cable-thhn-thw-cu/alambres-thhn-thwn-2,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp
CC-CABLE-AISLADO-THHW-CU-N14-ROJO,Cable Aislado Thhw Cu N14 Rojo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-rojo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/678/f86fbbb8dca01dfc.webp,Cable Aislado Thhw Cu N14 Rojo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N14-AZUL,Cable Aislado Thhw Cu N14 Azul,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-azul,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/684/41ac241c8d6a68b4.webp,Cable Aislado Thhw Cu N14 Azul,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N14-BLANCO,Cable Aislado Thhw Cu N14 Blanco,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-blanco,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/686/7ef2e5c9611d88eb.webp,Cable Aislado Thhw Cu N14 Blanco,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N14-NEGRO,Cable Aislado Thhw Cu N14 Negro,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-negro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/687/865692cc7a482383.webp,Cable Aislado Thhw Cu N14 Negro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N14-VERDE,Cable Aislado Thhw Cu N14 Verde,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-verde,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/689/619c333e58737025.webp,Cable Aislado Thhw Cu N14 Verde,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N12-AZUL,Cable Aislado Thhw Cu N12 Azul,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-azul,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/704/4f41b4f40f63e906.webp,Cable Aislado Thhw Cu N12 Azul,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N12-ROJO,Cable Aislado Thhw Cu N12 Rojo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-rojo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/706/04e8527e9c6bb72b.webp,Cable Aislado Thhw Cu N12 Rojo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N12-NEGRO,Cable Aislado Thhw Cu N12 Negro,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-negro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/707/d2b54c00bace8893.webp,Cable Aislado Thhw Cu N12 Negro,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N12-BLANCO,Cable Aislado Thhw Cu N12 Blanco,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-blanco,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/710/e5a883351c3d1301.webp,Cable Aislado Thhw Cu N12 Blanco,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N12-AMARILLO,Cable Aislado Thhw Cu N12 Amarillo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-amarillo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/712/bcc24b6b7d04a1d3.webp,Cable Aislado Thhw Cu N12 Amarillo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N12-VERDE,Cable Aislado Thhw Cu N12 Verde,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-verde,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/713/fe3aef3da98e0ab3.webp,Cable Aislado Thhw Cu N12 Verde,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N10-BLANCO,Cable Aislado Thhw Cu N10 Blanco,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-blanco,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/717/93a6fe483e292909.webp,Cable Aislado Thhw Cu N10 Blanco,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N10-AMARILLO,Cable Aislado Thhw Cu N10 Amarillo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-amarillo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/719/0ed4783bc6b6b64f.webp,Cable Aislado Thhw Cu N10 Amarillo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N10-ROJO,Cable Aislado Thhw Cu N10 Rojo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-rojo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/720/720361f62bee95fc.webp,Cable Aislado Thhw Cu N10 Rojo,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
CC-CABLE-AISLADO-THHW-CU-N10-AZUL,Cable Aislado Thhw Cu N10 Azul,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-azul,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/722/b6709ef13f1309b6.webp,Cable Aislado Thhw Cu N10 Azul,2026-08-02,requiere_revision,requiere_permiso,"Inventario desde sitemap público. Validar SKU, ficha técnica, descripción propia, categoría Surtilec y permiso de imagen antes de importar.",,,,
