sku,nombre,estado_staging,source_key,nota_staging
SRT-PENDING-82211F992308,Pendiente de verificación - Cable Acometida 3X4+6 Trifásico Trébol Cu,pendiente_investigacion,CC-CABLE-ACOMETIDA-3X4-6-TRIFASICO-TREBOL-CU-6,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-84C5415A058A,Pendiente de verificación - Cable Acometida 3X2+4 Trebol Trifasico Cu,pendiente_investigacion,CC-CABLE-ACOMETIDA-3X2-4-TREBOL-TRIFASICO-CU,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-91D6A3C793FA,Pendiente de verificación - Cable Acometida Aluminio 1x6+6 Monofásico,pendiente_investigacion,CC-CABLE-ACOMETIDA-ALUMINIO-1X6-6-MONOFASICO,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-8E11A5B06622,Pendiente de verificación - Cable Ecologico AL-ACSR 1/0 13.2KV/15KV,pendiente_investigacion,CC-CABLE-ECOLOGICO-AL-ACSR-1-0-13-2KV-15KV-5,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-235E33CBA9A7,Pendiente de verificación - Cable Ecologico AL-ACSR 2/0 13.2KV/15KV,pendiente_investigacion,CC-CABLE-ECOLOGICO-AL-ACSR-2-0-13-2KV-15KV-2,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-4F60E7FF2406,Pendiente de verificación - Cable Ecologico AL-ACSR 4/0 13.2KV/15KV,pendiente_investigacion,CC-CABLE-ECOLOGICO-AL-ACSR-4-0-13-2KV-15KV-5,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-5EC7E5DAAF50,Pendiente de verificación - Cable Ecológico AL-ACSR 266.38 13.2KV/15KV,pendiente_investigacion,CC-CABLE-ECOLOGICO-AL-ACSR-266-38-13-2KV-15KV,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-8FCC4E5B7572,Pendiente de verificación - Cable Ecologico AL-ACSR 1/0 34.5KV,pendiente_investigacion,CC-CABLE-ECOLOGICO-AL-ACSR-1-0-34-5KV-7,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-78EE0A2AE0E5,Pendiente de verificación - Cable Ecologico AL-ACSR 2/0 34.5KV,pendiente_investigacion,CC-CABLE-ECOLOGICO-AL-ACSR-2-0-34-5KV-1,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-35EE11579D66,Pendiente de verificación - Cable Ecologico AL-ACSR 4/0 34.5KV,pendiente_investigacion,CC-CABLE-ECOLOGICO-AL-ACSR-4-0-34-5KV-5,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-E4258346E928,Pendiente de verificación - Cable Ecológico AL-ACSR 266.8 34.5KV,pendiente_investigacion,CC-CABLE-ECOLOGICO-AL-ACSR-266-8-34-5KV,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
SRT-PENDING-8E4A84C51885,Pendiente de verificación - Cable Fibra Optica LSZH 4 Núcleos Rollo 100m,pendiente_investigacion,CC-CABLE-FIBRA-OPTICA-LSZH-4-NUCLEOS-ROLLO-100M,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
