sku,nombre_provisional,estado_staging,marca,referencia_fabricante,enlace_producto_oficial,enlace_ficha_tecnica,enlace_imagen_directa,estado_derechos_imagen,referencia_permiso_imagen,datos_confirmados,observaciones
SRT-PENDING-07FA0BD6AEB2,Pendiente de verificación - Cable Libre de Halógeno N6 Azul Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-2089E87C0AAF,Pendiente de verificación - Cable Libre de Halógeno N6 Blanco Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-077F4FF8E9DE,Pendiente de verificación - Cable Libre de Halógeno N6 Negro Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-82C171848667,Pendiente de verificación - Cable Libre de Halógeno N6 Rojo Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-C88FD9CE58CA,Pendiente de verificación - Cable Libre de Halógeno N6 Verde Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-DB9D247A6425,Pendiente de verificación - Cable Libre de Halógeno N4 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-8D8F8E0DCE81,Pendiente de verificación - Cable Libre de Halógeno N2 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-029EB10AC9CB,Pendiente de verificación - Cable Libre de Halógeno N1/0 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-388A73331D8A,Pendiente de verificación - Cable Libre de Halógeno N2/0 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-017B0187FD40,Pendiente de verificación - Cable Libre de Halógeno N4/0 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-AE93C6CB0019,Pendiente de verificación - Cable Libre de Halógeno N3/0 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-38E9EBE15577,Pendiente de verificación - Cable Libre de Halógeno N250 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-02119178F055,Pendiente de verificación - Cable Libre de Halógeno N300 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-971D42F0840C,Pendiente de verificación - Cable Libre de Halógeno N350 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-PENDING-F7158784A620,Pendiente de verificación - Cable Libre de Halógeno N500 Cu,pendiente_investigacion,,,,,,pendiente,,pendiente,
SRT-ENCAU-7x16AWG-CU,Pendiente de verificación - Cable Encauchetado 7X16 AWG CU,pendiente_piloto,,,,,,pendiente,,pendiente,
SRT-ENCAU-7x14AWG-CU,Pendiente de verificación - Cable Encauchetado 7X14 AWG CU,pendiente_piloto,,,,,,pendiente,,pendiente,
SRT-ENCAU-7x10AWG-CU,Pendiente de verificación - Cable Encauchetado 7X10 AWG CU,pendiente_piloto,,,,,,pendiente,,pendiente,
SRT-ENCAU-6x18AWG-CU,Pendiente de verificación - Cable Encauchetado 6X18 AWG CU,pendiente_piloto,,,,,,pendiente,,pendiente,
SRT-ENCAU-6x16AWG-CU,Pendiente de verificación - Cable Encauchetado 6X16 AWG Cu,pendiente_piloto,,,,,,pendiente,,pendiente,
SRT-ENCAU-6x14AWG-CU,Pendiente de verificación - Cable Encauchetado 6X14 AWG CU,pendiente_piloto,,,,,,pendiente,,pendiente,
SRT-ENCAU-6x12AWG-CU,Pendiente de verificación - Cable Encauchetado 6X12 AWG CU,pendiente_piloto,,,,,,pendiente,,pendiente,
SRT-ENCAU-5x18AWG-CU,Pendiente de verificación - Cable Encauchetado 5X18 AWG Cu,pendiente_piloto,,,,,,pendiente,,pendiente,
