"sku","nombre_surtilec","image_file","sha256","variantes_que_comparten_hash","estado_verificacion","accion"
"SRT-PENDING-AD03162171F4","Cable THHW-LS 10 AWG Cobre Trenzado, Azul","surtilec-cable-thhw-ls-10-awg-cobre-trenzado-azul-srt-pending-ad03162171f4.webp","3406c5ea89d890c1ed77920957d6beebab75be52656b19942cdbd80ad1154a82","Cable THHW-LS 14 AWG Cobre Trenzado, Azul | Cable THHW-LS 12 AWG Cobre Trenzado, Azul | Cable THHW-LS 10 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 14 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 12 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 10 AWG Cobre Trenzado, Azul","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-CCECBBFDD5DE","Cable THHW-LS 8 AWG Cobre Trenzado, Azul","surtilec-cable-thhw-ls-8-awg-cobre-trenzado-azul-srt-pending-ccecbbfdd5de.webp","f6807f3d5f3732972221d04161bdce1daf11674b0d3a0a90014e0f87e4ade04f","Cable THHW-LS 8 AWG Cobre Trenzado, Azul | Cable THHW-LS 6 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 8 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 6 AWG Cobre Trenzado, Azul","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-816DD2F59DE2","Cable THHW-LS 8 AWG Cobre Trenzado, Blanco","surtilec-cable-thhw-ls-8-awg-cobre-trenzado-blanco-srt-pending-816dd2f59de2.webp","564f0691bcd64316e9e5f18f9a1b323e93f145cd7e0dc7da999976b5eca9a9c1","Cable THHW-LS 8 AWG Cobre Trenzado, Blanco | Cable THHW-LS 6 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 8 AWG Cobre Trenzado, Blanco | Cable Libre de Halógeno LSZH 6 AWG Cobre Trenzado, Blanco","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-CB8A583550CE","Cable THHW-LS 8 AWG Cobre Trenzado, Negro","surtilec-cable-thhw-ls-8-awg-cobre-trenzado-negro-srt-pending-cb8a583550ce.webp","1e2cbdaa48188b27ff392fceb0caec0ddf1f43d6f6d883b8bdb65225d8438aa5","Cable THHW-LS 8 AWG Cobre Trenzado, Negro | Cable THHW-LS 6 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 8 AWG Cobre Trenzado, Negro | Cable Libre de Halógeno LSZH 6 AWG Cobre Trenzado, Negro","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-8F3183B05B49","Cable THHW-LS 8 AWG Cobre Trenzado, Rojo","surtilec-cable-thhw-ls-8-awg-cobre-trenzado-rojo-srt-pending-8f3183b05b49.webp","ffaa1a90e86bd18cdef8062950b4fad288a23773ad609e10a33984326b0cd071","Cable THHW-LS 8 AWG Cobre Trenzado, Rojo | Cable THHW-LS 6 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 8 AWG Cobre Trenzado, Rojo | Cable Libre de Halógeno LSZH 6 AWG Cobre Trenzado, Rojo","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-073A5AB5611A","Cable THHW-LS 8 AWG Cobre Trenzado, Amarillo","surtilec-cable-thhw-ls-8-awg-cobre-trenzado-amarillo-srt-pending-073a5ab5611a.webp","1fd8bc553c35eb5aa0eb96bcff5aaedb7dba2f38571aedb4e7b8f9e3fb3f7240","Cable THHW-LS 8 AWG Cobre Trenzado, Amarillo | Cable THHW-LS 6 AWG Cobre Trenzado, Amarillo | Cable Libre de Halógeno LSZH 8 AWG Cobre Trenzado, Amarillo | Cable Libre de Halógeno LSZH 6 AWG Cobre Trenzado, Amarillo","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-DDE1F397583D","Cable THHW-LS 3x12 AWG Cobre, Rojo","surtilec-cable-thhw-ls-3x12-awg-cobre-rojo-srt-pending-dde1f397583d.webp","09b1fbfb234503412dcfef83bf520f6dadc0d4472231c27dac6f95933c22b343","Cable THHW-LS 3x12 AWG Cobre, Rojo","coincidencia_exacta_hash_unico","asignar_imagen"
"SRT-PENDING-692D488C739A","Cable THHW-LS 3x12 AWG Cobre, Azul","surtilec-cable-thhw-ls-3x12-awg-cobre-azul-srt-pending-692d488c739a.webp","2feb2cfb11db65e6ff7ad01933816c8732a2913f5456429b70aaa85520dd3164","Cable THHW-LS 3x12 AWG Cobre, Azul","coincidencia_exacta_hash_unico","asignar_imagen"
"SRT-PENDING-0793CB189B99","Cable THHW-LS 6 AWG Cobre Trenzado, Amarillo","surtilec-cable-thhw-ls-6-awg-cobre-trenzado-amarillo-srt-pending-0793cb189b99.webp","1fd8bc553c35eb5aa0eb96bcff5aaedb7dba2f38571aedb4e7b8f9e3fb3f7240","Cable THHW-LS 8 AWG Cobre Trenzado, Amarillo | Cable THHW-LS 6 AWG Cobre Trenzado, Amarillo | Cable Libre de Halógeno LSZH 8 AWG Cobre Trenzado, Amarillo | Cable Libre de Halógeno LSZH 6 AWG Cobre Trenzado, Amarillo","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
"SRT-PENDING-E165E6F74DD3","Cable THHW-LS 6 AWG Cobre Trenzado, Azul","surtilec-cable-thhw-ls-6-awg-cobre-trenzado-azul-srt-pending-e165e6f74dd3.webp","f6807f3d5f3732972221d04161bdce1daf11674b0d3a0a90014e0f87e4ade04f","Cable THHW-LS 8 AWG Cobre Trenzado, Azul | Cable THHW-LS 6 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 8 AWG Cobre Trenzado, Azul | Cable Libre de Halógeno LSZH 6 AWG Cobre Trenzado, Azul","fuente_visual_reutilizada_entre_variantes","mantener_sin_miniatura"
