source_key,nombre_fuente_interno,categoria_fuente_slug,subcategoria_fuente_slug,producto_url_interno,sku_surtilec,estado,marca_confirmada,referencia_fabricante,fuente_tecnica_oficial,estado_imagen,motivo
CC-CABLE-AISLADO-THHW-CU-N12-AMARILLO,Cable Aislado Thhw Cu N12 Amarillo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-amarillo,SRT-PENDING-756929C8D6E7,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N12-VERDE,Cable Aislado Thhw Cu N12 Verde,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-verde,SRT-PENDING-86987D275B9F,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N10-BLANCO,Cable Aislado Thhw Cu N10 Blanco,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-blanco,SRT-PENDING-21FD6C300A41,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N10-AMARILLO,Cable Aislado Thhw Cu N10 Amarillo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-amarillo,SRT-PENDING-F5A166F079E1,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N10-ROJO,Cable Aislado Thhw Cu N10 Rojo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-rojo,SRT-PENDING-60537BFEA285,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N10-AZUL,Cable Aislado Thhw Cu N10 Azul,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-azul,SRT-PENDING-AD03162171F4,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N10-VERDE,Cable Aislado Thhw Cu N10 Verde,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-verde,SRT-PENDING-C19135D919A3,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N10-NEGRO,Cable Aislado Thhw Cu N10 Negro,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-negro,SRT-PENDING-B4C4339BB418,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N8-VERDE,Cable Aislado Thhw Cu N8 Verde,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-verde,SRT-PENDING-BF4F71F6A068,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N8-AZUL,Cable Aislado Thhw Cu N8 Azul,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-azul,SRT-PENDING-CCECBBFDD5DE,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N8-BLANCO,Cable Aislado Thhw Cu N8 Blanco,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-blanco,SRT-PENDING-816DD2F59DE2,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N8-NEGRO,Cable Aislado Thhw Cu N8 Negro,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-negro,SRT-PENDING-CB8A583550CE,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N8-ROJO,Cable Aislado Thhw Cu N8 Rojo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-rojo,SRT-PENDING-8F3183B05B49,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N8-AMARILLO,Cable Aislado Thhw Cu N8 Amarillo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-amarillo,SRT-PENDING-073A5AB5611A,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-3X12-TRENZADO-ROJO,Cable Aislado Thhw Cu 3X12 Trenzado Rojo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-3x12-trenzado-rojo,SRT-PENDING-DDE1F397583D,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-3X12-TRENZADO-AZUL,Cable Aislado Thhw Cu 3X12 Trenzado Azul,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-3x12-trenzado-azul,SRT-PENDING-692D488C739A,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N6-AMARILLO,Cable Aislado Thhw Cu N6 Amarillo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-amarillo,SRT-PENDING-0793CB189B99,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N6-AZUL,Cable Aislado Thhw Cu N6 Azul,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-azul,SRT-PENDING-E165E6F74DD3,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N6-BLANCO,Cable Aislado Thhw Cu N6 Blanco,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-blanco,SRT-PENDING-92276926BA9C,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N6-NEGRO,Cable Aislado Thhw Cu N6 Negro,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-negro,SRT-PENDING-1EE8DD2575A6,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
CC-CABLE-AISLADO-THHW-CU-N6-ROJO,Cable Aislado Thhw Cu N6 Rojo,alambre-cable-thhn-thw-cu,cable-cobre-aislado-thhn-cu,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-rojo,SRT-PENDING-6BA5A1DAA2AC,pendiente_investigacion,,,,sin_imagen,"Referencia descubierta; ficha oficial exacta, marca e imagen todavía pendientes."
