id,sku,titulo,familia,familia_etiqueta,confianza,regla,marca,categorias
199,31353999701,THWN-2 18 AWG Cu (J) PVC/NY 600V 105C G&OII VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
200,31353999301,SUPERFLEX 8 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1,superflex-flexible,Cable flexible Superflex,media,superflex|flexible,Procables,Cable flexible|Superflex
201,31353999001,SUPERFLEX 10 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1,superflex-flexible,Cable flexible Superflex,media,superflex|flexible,Procables,Cable flexible|Superflex
202,31353998701,SUPERFLEX 12 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1,superflex-flexible,Cable flexible Superflex,media,superflex|flexible,Procables,Cable flexible|Superflex
203,31353998401,SUPERFLEX 14 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1,superflex-flexible,Cable flexible Superflex,media,superflex|flexible,Procables,Cable flexible|Superflex
204,31353998301,SUPERFLEX 16 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1,superflex-flexible,Cable flexible Superflex,media,superflex|flexible,Procables,Cable flexible|Superflex
205,31353998201,SUPERFLEX 18 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1,superflex-flexible,Cable flexible Superflex,media,superflex|flexible,Procables,Cable flexible|Superflex
206,31354240105,SUPERFLEX 20 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1,superflex-flexible,Cable flexible Superflex,media,superflex|flexible,Procables,Cable flexible|Superflex
207,31354220102,THWN-2 12 AWG Cu (J) PVC/NY 600V105°C G&O II VW-1CT,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
208,31354002001,THWN-2 14 AWG Cu (flexible) PVC/NY 600V G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
209,31354002002,THWN-2 14 AWG Cu (flexible) PVC NY 600V 105C G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
210,31354001801-3,TFFN 16 AWG Cu (flexible) PVC/NY 600V G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
211,31354001802,TFFN 16AWG Cu (flexible) PVC /NY 600V 105C G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
212,31354001601-3,TFFN 18 AWG Cu (flexible) PVC/NY 600V G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
213,31354001602,TFFN 18AWG Cu (flexible) PVC/NY 600V 105C G&O II VW-1,thhn-thwn-tffn,Alambre THHN/THWN-2,alta,\bTHHN\b|\bTHWN\b|\bTHHW\b|\bTFFN\b|\bTFN\b,Procables,Cable THHN / THWN-2
214,31369100002,DUPLEX CPE SPT 2×10 AWG Cu (J) PVC 300V 60°C,spt-duplex-triplex,Cable SPT dúplex/tríplex,alta,\bSPT\b|d[uú]plex|tr[ií]plex|cu[aá]druplex,Procables,Cable flexible|SPT-CPE
215,31369080001,DUPLEX CPE SPT 2×12 AWG Cu (J) PVC 300V 60°C,spt-duplex-triplex,Cable SPT dúplex/tríplex,alta,\bSPT\b|d[uú]plex|tr[ií]plex|cu[aá]druplex,Procables,Cable flexible|SPT-CPE
216,31369060001,DUPLEX CPE SPT 2×14 AWG Cu (J) PVC 300V 60°C,spt-duplex-triplex,Cable SPT dúplex/tríplex,alta,\bSPT\b|d[uú]plex|tr[ií]plex|cu[aá]druplex,Procables,Cable flexible|SPT-CPE
